source_row_index,entry_time,greedy,llm_used,hint,capture_folders,capture_folder,capture_dir,stitch_status,stitch_error,stitched_output,total_captures,unique_coordinates,overlap_capture_count,overlap_capture_percentage,duplicate_extra_capture_count,duplicate_extra_capture_percentage,out_of_bounds_capture_count,out_of_bounds_capture_percentage,out_of_bounds_unique_coordinate_count,out_of_bounds_unique_coordinate_percentage,required_x_min,required_x_max,required_y_min,required_y_max
18,2026-05-14T17:09:36.768713+00:00,No,gemini-2.5-pro,medium,run_20260514170328;run_20260514170815,run_20260514170815,/home/ws/ugv_ws/captures/run_20260514170815,exists,,/home/ws/ugv_ws/stitched_mosaics/run_20260514170815_stitched_mosaic.png,6,6,0,0.0,0,0.0,0,0.0,0,0.0,-1,1,0,2
19,2026-05-14T17:19:24.982216+00:00,No,gemini-2.5-pro,hard,run_20260514171356;run_20260514171806,run_20260514171356,/home/ws/ugv_ws/captures/run_20260514171356,exists,,/home/ws/ugv_ws/stitched_mosaics/run_20260514171356_stitched_mosaic.png,6,6,0,0.0,0,0.0,0,0.0,0,0.0,-1,1,0,2
19,2026-05-14T17:19:24.982216+00:00,No,gemini-2.5-pro,hard,run_20260514171356;run_20260514171806,run_20260514171806,/home/ws/ugv_ws/captures/run_20260514171806,exists,,/home/ws/ugv_ws/stitched_mosaics/run_20260514171806_stitched_mosaic.png,6,6,0,0.0,0,0.0,0,0.0,0,0.0,-1,1,0,2
20,2026-05-15T10:36:29.760400+00:00,No,gemma-4-26b-a4b-it,easy,run_20260515102552;run_20260515103222,run_20260515102552,/home/ws/ugv_ws/captures/run_20260515102552,exists,,/home/ws/ugv_ws/stitched_mosaics/run_20260515102552_stitched_mosaic.png,6,6,0,0.0,0,0.0,0,0.0,0,0.0,-1,1,0,2
20,2026-05-15T10:36:29.760400+00:00,No,gemma-4-26b-a4b-it,easy,run_20260515102552;run_20260515103222,run_20260515103222,/home/ws/ugv_ws/captures/run_20260515103222,exists,,/home/ws/ugv_ws/stitched_mosaics/run_20260515103222_stitched_mosaic.png,6,6,0,0.0,0,0.0,0,0.0,0,0.0,-1,1,0,2
21,2026-05-15T10:52:28.349434+00:00,No,gemma-4-26b-a4b-it,medium,run_20260515104029;run_20260515104914,run_20260515104029,/home/ws/ugv_ws/captures/run_20260515104029,exists,,/home/ws/ugv_ws/stitched_mosaics/run_20260515104029_stitched_mosaic.png,6,6,0,0.0,0,0.0,0,0.0,0,0.0,-1,1,0,2
21,2026-05-15T10:52:28.349434+00:00,No,gemma-4-26b-a4b-it,medium,run_20260515104029;run_20260515104914,run_20260515104914,/home/ws/ugv_ws/captures/run_20260515104914,exists,,/home/ws/ugv_ws/stitched_mosaics/run_20260515104914_stitched_mosaic.png,6,6,0,0.0,0,0.0,0,0.0,0,0.0,-1,1,0,2
22,2026-05-15T11:12:51.891509+00:00,No,gemma-4-26b-a4b-it,hard,run_20260515105747;run_20260515110813,run_20260515105747,/home/ws/ugv_ws/captures/run_20260515105747,exists,,/home/ws/ugv_ws/stitched_mosaics/run_20260515105747_stitched_mosaic.png,6,6,0,0.0,0,0.0,0,0.0,0,0.0,-1,1,0,2
22,2026-05-15T11:12:51.891509+00:00,No,gemma-4-26b-a4b-it,hard,run_20260515105747;run_20260515110813,run_20260515110813,/home/ws/ugv_ws/captures/run_20260515110813,exists,,/home/ws/ugv_ws/stitched_mosaics/run_20260515110813_stitched_mosaic.png,6,6,0,0.0,0,0.0,0,0.0,0,0.0,-1,1,0,2
23,2026-05-15T11:25:07.311397+00:00,No,gemma-4-31b-it,easy,run_20260515111711;run_20260515112222,run_20260515111711,/home/ws/ugv_ws/captures/run_20260515111711,exists,,/home/ws/ugv_ws/stitched_mosaics/run_20260515111711_stitched_mosaic.png,6,6,0,0.0,0,0.0,0,0.0,0,0.0,-1,1,0,2
23,2026-05-15T11:25:07.311397+00:00,No,gemma-4-31b-it,easy,run_20260515111711;run_20260515112222,run_20260515112222,/home/ws/ugv_ws/captures/run_20260515112222,exists,,/home/ws/ugv_ws/stitched_mosaics/run_20260515112222_stitched_mosaic.png,6,6,0,0.0,0,0.0,0,0.0,0,0.0,-1,1,0,2
24,2026-05-15T11:38:24.985878+00:00,No,gemma-4-31b-it,medium,run_20260515112958;run_20260515113541,run_20260515112958,/home/ws/ugv_ws/captures/run_20260515112958,exists,,/home/ws/ugv_ws/stitched_mosaics/run_20260515112958_stitched_mosaic.png,6,6,0,0.0,0,0.0,0,0.0,0,0.0,-1,1,0,2
24,2026-05-15T11:38:24.985878+00:00,No,gemma-4-31b-it,medium,run_20260515112958;run_20260515113541,run_20260515113541,/home/ws/ugv_ws/captures/run_20260515113541,exists,,/home/ws/ugv_ws/stitched_mosaics/run_20260515113541_stitched_mosaic.png,6,6,0,0.0,0,0.0,0,0.0,0,0.0,-1,1,0,2
25,2026-05-15T11:51:10.034335+00:00,No,gemma-4-31b-it,hard,run_20260515114312;run_20260515114933,run_20260515114312,/home/ws/ugv_ws/captures/run_20260515114312,exists,,/home/ws/ugv_ws/stitched_mosaics/run_20260515114312_stitched_mosaic.png,6,6,0,0.0,0,0.0,0,0.0,0,0.0,-1,1,0,2
25,2026-05-15T11:51:10.034335+00:00,No,gemma-4-31b-it,hard,run_20260515114312;run_20260515114933,run_20260515114933,/home/ws/ugv_ws/captures/run_20260515114933,exists,,/home/ws/ugv_ws/stitched_mosaics/run_20260515114933_stitched_mosaic.png,6,6,0,0.0,0,0.0,0,0.0,0,0.0,-1,1,0,2
